site_id,name,tier,start_url,question,answer_substring,match_rule,flag,answer_note
stripe,Stripe,anchor,https://stripe.com,What is Stripe's standard rate for online domestic card payments?,2.9%,exact; case/space-normalize,,"Standard online card processing rate, 2.9% + 30 cents per transaction, from the pricing page."
shopify,Shopify,anchor,https://www.shopify.com,What is the monthly price of Shopify's Basic plan?,$29 | $39,any-of; strip $; numeric word-boundary,,"Monthly price of the entry-level Basic plan: $29/mo billed annually, $39/mo billed monthly (verified 2026-08-09); any-of accepts either."
github,GitHub,anchor,https://github.com,What is the per-user monthly price of GitHub's Enterprise plan?,$21,strip $; numeric word-boundary,,"Per-user monthly price of the Enterprise plan, $21, displayed on the pricing page (verified 2026-08-09)."
twilio,Twilio,anchor,https://www.twilio.com,What does it cost to send one SMS to a US number on Twilio?,0.0083,strip $; match decimal,,"Per-message US SMS price. Outbound and inbound SMS are both $0.0083; MMS differs, so SMS is distinguishable. May require selecting United States."
notion,Notion,anchor,https://www.notion.com,What is the monthly per-user price of Notion's Plus plan?,$12 | $10,any-of; strip $; numeric word-boundary,,"Monthly per-user price of the Plus plan: $12/mo billed monthly, $10/mo billed annually (verified 2026-08-09); any-of accepts either."
cloudflare,Cloudflare,anchor,https://www.cloudflare.com,What is the monthly price of Cloudflare's Pro plan?,$20 | $25,any-of; strip $; numeric word-boundary ($20 != $200),,"Monthly price of the Pro plan; two valid values ($20 annual, $25 monthly). Business plan ($200/mo) is on the same page, so word-boundary match so '$20' does not match '$200'."
bestbuy,Best Buy,middle,https://www.bestbuy.com,"What is the price of the Lenovo Legion Tower 5i (Core Ultra 7 265F, 32GB, RTX 5060Ti, 1TB, Eclipse Black)?",1999,"strip $, commas, trailing .00",,"Lenovo Legion Tower 5i gaming desktop (model 90YA003GUS), $1,999.00 via marketplace seller PC Heaven, standard price, not discounted (verified 2026-08-09)."
ikea,IKEA,middle,"https://www.ikea.com",What is the price of the KIVIK 4-seat sectional with chaise (Grann/Bomstad black)?,2099,"strip $, commas, trailing .00",consent-wall obstacle,"KIVIK 4-seat sectional with chaise (Grann/Bomstad black), $2,099.00 USD, not discounted. Cookie-consent wall is a navigation obstacle for the agent."
target,Target,middle,https://www.target.com,What is the price of the Clorox ToiletWand cleaning system (caddy + 6 refill pads)?,12.89,strip $; keep decimal,,"Clorox ToiletWand cleaning system (caddy + 6 refill pads), $12.89. Odd-cents price is unique to this product."
spotify,Spotify,middle,https://www.spotify.com,What is the recurring monthly price of Spotify Premium Individual?,12.99,strip $; keep decimal,,"Recurring monthly price of Premium Individual, $12.99. The '$0 for 3 months' shown above it is a temporary new-user promo, not the standing price."
costco,Costco,middle,https://www.costco.com,What is the annual fee for Costco's Gold Star membership?,$65,strip $; numeric word-boundary ($65 != $650),,"Annual Gold Star (base) membership fee, $65. Executive tier ($130) is on the same page."
ca_dmv,California DMV,government,https://www.dmv.ca.gov,By what time must written tests be completed at California DMV offices?,4:30,exact,,REAL ID page. Written tests are unavailable at DMV offices after 4:30 p.m. (buried in step 3). Distinctive token.
tx_dmv,Texas DMV,government,https://www.txdmv.gov,How early before expiration can you renew your Texas vehicle registration online?,90 days,exact phrase; case/space-normalize,,"Vehicle registration renewal. You can renew online up to 90 days before expiration (and up to 12 months after, absent a citation). Avoid the Texas-by-Texas usage stats (they change)."
usps,USPS,government,https://www.usps.com,What is the current price of a First-Class Forever stamp (1 oz)?,0.78 | 78 cents,any-of; strip $; keep decimal,,"Current First-Class Forever stamp price (1 oz), $0.78. Other prices on the page ($0.61, $1.27, $1.63) differ, so $0.78 discriminates."
irs,IRS,government,https://www.irs.gov,What is the 2025 standard deduction for a single filer?,15750,"strip $, commas",,"2025 standard deduction for a single filer, $15,750. Discriminates from MFJ ($31,500) and head of household ($23,625); single and MFS share $15,750."
ssa,Social Security Admin,government,https://www.ssa.gov,What is the full retirement age for someone born in 1960 or later?,67,exact; avoid table-dump,,"Full retirement age for someone born in 1960 or later, 67. Number-dense page; '67' also sits inside '26.67%' (1955 row), only a risk if the agent reproduces the whole reduction table."
trimet,TriMet,government,https://support.trimet.org,How much is an adult Day Pass on TriMet?,5.60,strip $; keep decimal,,"Adult Day Pass, $5.60 (the one unique value on the page). The 2.5-hour adult fare ($2.80) is shared with the Honored Citizen and Youth Day Passes, so it was avoided."
portland,City of Portland,government,https://www.portland.gov,On what online platform do you submit your application and pay fees for a Portland food cart permit?,DevHub,case-normalize (proper noun),,"Food cart permits. Applications are submitted and fees paid on DevHub. The fee itself is gated behind DevHub, so a distinctive proper noun is used instead."
oregon_state,Oregon State University,government,https://financialaid.oregonstate.edu,What is the 2025-26 resident (in-state) undergraduate tuition and fees for the full year at OSU?,15246,"strip $, commas",interaction-test (accordion),"2025-26 resident (in-state) undergraduate tuition and fees, $15,246. Non-resident ($40,392) discriminates. On the cost-attendance page the figure sits behind an expandable section (interaction test)."
powells,Powell's Books,small_business,https://www.powells.com,What is the Trade Paperback price of 'Practices in Apparition' by Gabi Abrao on Powell's?,22.95,strip $; keep decimal,,"'Practices in Apparition' by Gabi Abrao, Trade Paperback, $22.95. Maps to the paperback format. Minor residual risk: book prices cluster at .95 endings, but the named title pins it."
voodoo,Voodoo Doughnut,small_business,https://www.voodoodoughnut.com,What is the ZIP code of the Old Town Portland Voodoo Doughnut location?,97204 | 5032414704,any-of; exact; phone alt digits-only,,"Old Town Portland location (22 SW 3rd Ave) ZIP code, 97204. Prices are gated behind the order flow, so a location fact is used. Alternative: phone, digit-normalized to 5032414704."
innout,In-N-Out,small_business,https://www.in-n-out.com,In what year was In-N-Out founded?,1948,exact,,"Founding year, 1948 (first store, Baldwin Park), from the history timeline. The timeline has other years, but the question targets the founding year."
bear,Bear,small_business,https://bear.app/,What does Bear Pro cost?,2.99 | 29.99,any-of; strip $; keep decimals,,"Bear Pro subscription; two valid prices shown together, $2.99/month and $29.99/year (any-of). The two values do not collide with each other."
apple,Apple,off_diagonal,https://www.apple.com,What is the starting price of the iPhone 17 Pro?,1099 | 45.79,"any-of; strip $, commas; keep decimals",off-diagonal: high static / low behavioral,"iPhone 17 Pro starting price, from $1099 (or $45.79/mo financing); any-of accepts either. Discriminates from other iPhone models. Heavy SPA may lower behavioral success despite high Lighthouse - surprising-result candidate."
craigslist,Craigslist,off_diagonal,https://www.craigslist.org,What does it cost to post a job in the job categories on Craigslist (US)?,75 | Visa | MasterCard | American Express,any-of; strip $,off-diagonal: low static / high behavioral,"Job-posting fee (US) is $10-75; '75' is the unique distinctive token on the page. Most other fees are $5 (shared), avoided. Plain old HTML, expected low Lighthouse but high behavioral success - mirror of Apple."
zalando,Zalando,off_diagonal,https://www.zalando.com,What is the price of the adidas Originals Wide Leg Leo Print Satin Pants (multicolor bronze strata) on Zalando (Portugal)?,"62,95 | 62.95 | 69,95 | 69.95",any-of; strip euro symbol; DO NOT comma-strip (comma is the decimal),off-diagonal: high static / low behavioral; language confound,"adidas Originals satin pants, bronze strata colorway, on zalando.pt: standing price 69,95 euros, on sale at 62,95 (-10%) as of 2026-08-09; any-of accepts sale or standing, comma or dot decimal. Comma is a DECIMAL, not a thousands separator, so do NOT comma-strip this row. Colorway named in the question because a carbon colorway shares the product name at a different price. Portuguese-language page is a confound to note when interpreting its result. Re-pin same-day before the run."
amazon,Amazon,blocker,https://www.amazon.com,What is the price of the NEW JETO metal bed frame in Queen size (14 inch)?,59.99,strip $; keep decimal,intentional blocker (expect blocked),"NEW JETO metal bed frame, Queen 14-inch, $59.99 (verified 2026-08-09). Size variants discriminate; ignore any store-card promo price. INTENTIONAL BLOCKER: expect failure_mode 'blocked', near-zero success is the finding. Price is volatile but moot if blocked."
